Skill,Industry_Demand,Student_Interest,Skill_Gap
Ux,0.0,1,-1.0
Ux & Psychology knowledge,0.0,1,-1.0
Ux Design,0.0,1,-1.0
Ux Knowledge,0.0,3,-3.0
Uxatie Desktop Project,0.0,1,-1.0
Uxknown,0.0,1,-1.0
VR,0.0,1,-1.0
Vector Graphics,0.0,1,-1.0
Video Editing,0.0,3,-3.0
Video Editing & Animation,0.0,53,-53.0
Video Editing And Animation,0.0,2,-2.0
Video Editing and Animation,0.0,43,-43.0
Video Editing and Annotation,0.0,2,-2.0
Video Editing andannotations,0.0,1,-1.0
Video Production,0.0,4,-4.0
Video production,0.0,1,-1.0
Virtual Environment Technology,0.0,2,-2.0
Virtual Reality,0.0,3,-3.0
Virtual reality,0.0,1,-1.0
Visual Communication,0.0,1,-1.0
Watchface Develop,0.0,1,-1.0
Watching movies,0.0,1,-1.0
Web Application Development,0.0,1,-1.0
Web Based Project Create,0.0,1,-1.0
Web Based Project Develop,0.0,9,-9.0
Web Based Project develop,0.0,7,-7.0
Web Based Projectdevelop,0.0,3,-3.0
Web Based project develop,0.0,3,-3.0
Web BasedProject develop,0.0,1,-1.0
Web Basedproject develop,0.0,6,-6.0
Web Basedproject developing,0.0,1,-1.0
Web Basedprojectdevelop,0.0,1,-1.0
Web Design,0.0,1,-1.0
Web Develop,0.0,1,-1.0
Web Developer,0.0,1,-1.0
Web Developing,0.0,1,-1.0
Web Development,0.0,1170,-1170.0
Web Games Development,0.0,1,-1.0
Web based idea implement,0.0,1,-1.0
Web based project develop,0.0,375,-375.0
Web based project developed,0.0,2,-2.0
Web based project developing,0.0,2,-2.0
Web based project install,0.0,1,-1.0
Web based projects develop,0.0,7,-7.0
Web basedproject develop,0.0,17,-17.0
Web basedproject developing,0.0,1,-1.0
Web dermalizer,0.0,1,-1.0
Web development,0.0,21,-21.0
Web developmnt and threat analys,0.0,1,-1.0
Web-based Project Develop,0.0,1,-1.0
Webbased project develop,0.0,1,-1.0
Webbased projects,0.0,1,-1.0
Webbasedproject develop,0.0,2,-2.0
Webdevelopment,0.0,2,-2.0
Website Analytics,0.0,1,-1.0
Website Build,0.0,3,-3.0
Website Build and Publish,0.0,1,-1.0
Website Builders,0.0,2,-2.0
Website Building,0.0,5,-5.0
Website Building and Assisting,0.0,1,-1.0
Website Buildings,0.0,1,-1.0
Website Development,0.0,6,-6.0
Website Display in Residency,0.0,1,-1.0
Website Ranking,0.0,1,-1.0
Website Securities,0.0,1,-1.0
Website build,0.0,4,-4.0
Website build and test,0.0,1,-1.0
Website develop,0.0,1,-1.0
Website developing,0.0,1,-1.0
Week-long Blockchain Immersive Course,0.0,1,-1.0
Widget Based Website create,0.0,1,-1.0
Wiki Development,0.0,1,-1.0
Wikipedia analysis,0.0,1,-1.0
Wind Tunnel Test,0.0,1,-1.0
Window System Resource Management,0.0,1,-1.0
Women Development,0.0,1,-1.0
Word Press Readers,0.0,1,-1.0
Word Processing,0.0,1,-1.0
Work on Robotic Systems,0.0,1,-1.0
Work with IoT,0.0,1,-1.0
Work with New Idea,0.0,1,-1.0
Work with Robotics,0.0,8,-8.0
Work with Robots,0.0,1,-1.0
Work with Technology,0.0,1,-1.0
Work with Technology and New Idea Gener,0.0,1,-1.0
Work with Technology and New Idea Generate,0.0,7,-7.0
Work with UI/UX Related Job,0.0,1,-1.0
Work with elder person,0.0,1,-1.0
Work with new idea,0.0,7,-7.0
Working,0.0,1,-1.0
Working With Block Chain,0.0,1,-1.0
Working With IoT,0.0,1,-1.0
Working With Robotics,0.0,1,-1.0
Working With Technology,0.0,1,-1.0
Working with Graphics and Social Media,0.0,1,-1.0
Working with Graphics and design,0.0,1,-1.0
Working with IoT,0.0,46,-46.0
Working with Justice,0.0,1,-1.0
Working with New Idea,0.0,7,-7.0
Working with Robotics,0.0,30,-30.0
Working with Robotics and IoT,0.0,2,-2.0
Working with Robots,0.0,10,-10.0
Working with Technology,0.0,5,-5.0
Working with Technology and New Idea Generate,0.0,93,-93.0
Working with Technology and New Idea Generation,0.0,8,-8.0
Working with Technology and new idea generate,0.0,1,-1.0
Working with Technology andnewidea,0.0,1,-1.0
Working with machine learning,0.0,1,-1.0
Working with new Idea,0.0,1,-1.0
Working with new concept,0.0,3,-3.0
Working with new idea,0.0,96,-96.0
Working with new ideas,0.0,2,-2.0
Working with robots,0.0,7,-7.0
Working with team,0.0,1,-1.0
Working with technology for future,0.0,1,-1.0
Working withRobotics,0.0,1,-1.0
Working withnew idea,0.0,2,-2.0
Working withnew ideas,0.0,1,-1.0
Working withnewidea,0.0,1,-1.0
Workshop,0.0,1,-1.0
Workshop Organizer,0.0,1,-1.0
Workshop lider,0.0,1,-1.0
Workshop on Artificial Intelligence and Machine learning,0.0,1,-1.0
Workshop on IoT,0.0,1,-1.0
Workwith IoT,0.0,1,-1.0
Workwithblock,0.0,1,-1.0
Workwithidea,0.0,1,-1.0
Workwithinnig,0.0,1,-1.0
Writing,0.0,1,-1.0
Writing in English,0.0,1,-1.0
Wyft,0.0,1,-1.0
XML Parsing,0.0,1,-1.0
abstract idea recreate,0.0,1,-1.0
adaptability,0.0,23,-23.0
adaptability to new idea,0.0,1,-1.0
adaptability to new thing,0.0,1,-1.0
adaptable,0.0,4,-4.0
adaptibility,0.0,1,-1.0
analytics,0.0,1,-1.0
and Draw,0.0,1,-1.0
android,0.0,1,-1.0
android apk make,0.0,1,-1.0
android app develop,0.0,8,-8.0
android app developing,0.0,3,-3.0
android application develop,0.0,1,-1.0
android application developers,0.0,1,-1.0
android application developing,0.0,1,-1.0
android apps develop,0.0,2,-2.0
api knowledge,0.0,3,-3.0
api test,0.0,1,-1.0
api testers,0.0,1,-1.0
api testing,0.0,2,-2.0
app_maker_blogger,0.0,1,-1.0
arsenul ideology best developer,0.0,1,-1.0
artifical intelligence,0.0,1,-1.0
artificial intelligence (ai),0.0,2,-2.0
artificial intelligence (ai) and machine learning,0.0,3,-3.0
automatic control systems,0.0,1,-1.0
autonomous driving,0.0,1,-1.0
azure data factory,0.0,1,-1.0
based on idea,0.0,1,-1.0
bengali language,0.0,1,-1.0
big data,0.0,1,-1.0
big data technologies,0.0,4,-4.0
bio data processing,0.0,1,-1.0
block chain,0.0,4,-4.0
blockchain,0.0,1,-1.0
bloggertraining,0.0,1,-1.0
bn-gram analysis,0.0,1,-1.0
boost your career,0.0,1,-1.0
bot vet,0.0,1,-1.0
cloud computed,0.0,1,-1.0
cloud computing,0.0,9,-9.0
collaboration,0.0,1,-1.0
collaborative work,0.0,1,-1.0
communicate,0.0,1,-1.0
communicate effectively,0.0,1,-1.0
communication,0.0,16,-16.0
communications,0.0,2,-2.0
competencies arising out of cyber security,0.0,1,-1.0
computational science,0.0,1,-1.0
contentwriting,0.0,1,-1.0
contract negotiations,0.0,1,-1.0
critical thinkig,0.0,1,-1.0
critical thinking,0.0,13,-13.0
critical thought,0.0,1,-1.0
critically thinking,0.0,1,-1.0
criticalthinking,0.0,1,-1.0
criticism,0.0,1,-1.0
crtdesign,0.0,1,-1.0
crypto learn,0.0,1,-1.0
cryptograph,0.0,1,-1.0
cryptographic techniques,0.0,1,-1.0
cyber security,0.0,2,-2.0
cyber security insurance,0.0,1,-1.0
cyber trace techniques,0.0,1,-1.0
cybersecurity,0.0,3,-3.0
cytorent,0.0,1,-1.0
daily teamwork,0.0,1,-1.0
data analysis,0.0,1,-1.0
data analysis & visualization,0.0,2,-2.0
data analysis and vision,0.0,1,-1.0
data analysis and visualization,0.0,14,-14.0
data analyst,0.0,1,-1.0
data analytics,0.0,3,-3.0
data engineering,0.0,21,-21.0
data engineering crazy about artificial intelligence andmachine learning,0.0,1,-1.0
data engineering working in ai and machine learning,0.0,1,-1.0
data featureteng,0.0,1,-1.0
data flowchart,0.0,1,-1.0
data manipulation,0.0,1,-1.0
data science,0.0,4,-4.0
data science cognition,0.0,1,-1.0
data science news,0.0,1,-1.0
data strategy,0.0,1,-1.0
data structure,0.0,4,-4.0
data visualization,0.0,1,-1.0
database development,0.0,10,-10.0
databasedevelopment,0.0,1,-1.0
dataset analysis,0.0,1,-1.0
deep learning,0.0,9,-9.0
deep learning.net,0.0,1,-1.0
deepelearning,0.0,1,-1.0
deeplearnincar,0.0,1,-1.0
deeplearning.net,0.0,2,-2.0
dell technology course,0.0,1,-1.0
design,0.0,1,-1.0
designers,0.0,1,-1.0
designing and developing artificial intelligence,0.0,1,-1.0
develop environment,0.0,1,-1.0
disk testing,0.0,1,-1.0
display of skill,0.0,1,-1.0
eb based project develop,0.0,1,-1.0
effective leader,0.0,1,-1.0
fake,0.0,1,-1.0
feather API test,0.0,1,-1.0
feature engineering,0.0,6,-6.0
features Specification writing,0.0,1,-1.0
feedforward neural networks,0.0,1,-1.0
fluxucky,0.0,1,-1.0
fontawesometestfixture,0.0,1,-1.0
game develop,0.0,1,-1.0
game development,0.0,1,-1.0
graphic design,0.0,2,-2.0
histogram creation,0.0,1,-1.0
iOS Application Create,0.0,1,-1.0
ideas,0.0,1,-1.0
illustrators,0.0,1,-1.0
image processing,0.0,4,-4.0
impedance,0.0,1,-1.0
information technology ipsum create,0.0,1,-1.0
innovation,0.0,1,-1.0
install github,0.0,1,-1.0
interActiveCollaboration,0.0,1,-1.0
interacting with new idea,0.0,1,-1.0
interlocking systems,0.0,1,-1.0
internet of things,0.0,1,-1.0
interpersonal skill,0.0,2,-2.0
interpersonal skills,0.0,10,-10.0
interpersonal skils,0.0,1,-1.0
interpretation,0.0,1,-1.0
ip address,0.0,1,-1.0
it technical curriculum,0.0,1,-1.0
lab,0.0,1,-1.0
lead developer,0.0,1,-1.0
lead software developer,0.0,1,-1.0
leadership,0.0,2,-2.0
leads generation,0.0,1,-1.0
linux system manage,0.0,1,-1.0
logistic regression,0.0,1,-1.0
lr learning,0.0,1,-1.0
machine learning,0.0,9,-9.0
memory testing,0.0,1,-1.0
metrics establish,0.0,1,-1.0
microphones,0.0,1,-1.0
microsoft azure,0.0,1,-1.0
microsoft technologies,0.0,1,-1.0
mobile app develop,0.0,2,-2.0
mobile app development,0.0,5,-5.0
mobile app testing,0.0,1,-1.0
model validation,0.0,1,-1.0
network security,0.0,6,-6.0
network topology,0.0,1,-1.0
network topologys,0.0,1,-1.0
networking,0.0,1,-1.0
oauth2testing,0.0,1,-1.0
offer your service,0.0,1,-1.0
operating system,0.0,1,-1.0
operating systems and networking,0.0,2,-2.0
partner relationship build,0.0,1,-1.0
passwords strength,0.0,1,-1.0
pc based app developing,0.0,1,-1.0
pc based project,0.0,1,-1.0
perform well in computer science and mathematics,0.0,1,-1.0
performance testing,0.0,1,-1.0
photography,0.0,1,-1.0
physics fordata science,0.0,1,-1.0
predictive analytics,0.0,1,-1.0
problem solution,0.0,2,-2.0
problem solver,0.0,8,-8.0
problem solvetio,0.0,1,-1.0
problem solving,0.0,12,-12.0
problem solving and affection,0.0,1,-1.0
problem solving and analysis,0.0,6,-6.0
problem solving and communication,0.0,3,-3.0
problem solving and engineering,0.0,1,-1.0
problem solvingroyale,0.0,1,-1.0
problems solution,0.0,1,-1.0
problemsolve,0.0,1,-1.0
problemsolving,0.0,1,-1.0
problemsolving and analytical,0.0,1,-1.0
programming labs,0.0,1,-1.0
programming lod,0.0,1,-1.0
project management,0.0,18,-18.0
qiskit,0.0,1,-1.0
research on AI and ML,0.0,1,-1.0
research on artificial intelligence,0.0,1,-1.0
research on artificial intelligence and machine learning,0.0,8,-8.0
research on artificial intelligencene,0.0,1,-1.0
research on artificial intelligencer,0.0,1,-1.0
research on artistic intangible,0.0,1,-1.0
research on block chain,0.0,1,-1.0
research on cyber security,0.0,1,-1.0
research on natural language processing,0.0,3,-3.0
robotic armors,0.0,1,-1.0
robotic knowledge,0.0,1,-1.0
robust algorithms,0.0,1,-1.0
screen design,0.0,1,-1.0
screenplay writing,0.0,1,-1.0
site building,0.0,1,-1.0
software development,0.0,4,-4.0
software qc,0.0,1,-1.0
software quailty assurance,0.0,1,-1.0
software quality metrics,0.0,1,-1.0
software test rel,0.0,1,-1.0
starter kits for blockchain,0.0,1,-1.0
statistical analysis,0.0,5,-5.0
statistics,0.0,1,-1.0
supported by artificial intellcine,0.0,1,-1.0
system design,0.0,24,-24.0
system designpath,0.0,1,-1.0
team building,0.0,1,-1.0
team leadership,0.0,3,-3.0
teamwork,0.0,4,-4.0
techical communication,0.0,1,-1.0
technical communication,0.0,1,-1.0
ui/Ux knowledge,0.0,1,-1.0
ui/ux Topology fonctionalite,0.0,1,-1.0
ui/ux design,0.0,1,-1.0
ui/ux knowledge,0.0,5,-5.0
ui/ux knowledgues,0.0,1,-1.0
user experience (ux) and usability testers,0.0,1,-1.0
web based project develop,0.0,15,-15.0
web based project development,0.0,1,-1.0
web based project test,0.0,1,-1.0
web design,0.0,1,-1.0
web development,0.0,2,-2.0
website and app develop,0.0,1,-1.0
website build,0.0,1,-1.0
website_developing_blogger,0.0,1,-1.0
work on new idea,0.0,1,-1.0
work with new idea,0.0,1,-1.0
work with new ideas,0.0,1,-1.0
working by new idea,0.0,1,-1.0
working with IoT,0.0,3,-3.0
working with android,0.0,1,-1.0
working with machine learning,0.0,1,-1.0
working with machine learning or data science,0.0,1,-1.0
working with new concept,0.0,1,-1.0
working with new idea,0.0,11,-11.0
working with new ideas,0.0,3,-3.0
working with robots,0.0,2,-2.0
working with technology and new idea,0.0,1,-1.0
working with technology and new ideas,0.0,1,-1.0
workwithtech,0.0,1,-1.0
